episode,epReward,cumReward,cumRegret,empRegret
100,0.00,-7.40,36.34,48.36
200,2.02,32.78,44.94,49.14
300,0.00,68.12,46.78,54.76
400,0.00,108.02,47.19,55.82
500,0.00,137.75,47.19,67.05
600,0.00,186.08,47.71,59.68
700,-0.51,257.66,48.12,29.06
800,0.00,287.55,49.12,40.13
900,-1.10,313.36,51.16,55.28
1000,-1.11,339.16,51.57,70.44
1100,1.75,382.56,51.57,68.00
1200,1.77,418.09,51.98,73.43
1300,0.00,460.17,51.98,72.31
1400,1.44,511.22,51.98,62.22
1500,1.61,555.61,52.98,58.79
1600,0.00,618.96,52.98,36.40
1700,2.69,682.21,53.39,14.11
1800,0.42,735.77,53.39,1.51
1900,2.70,789.33,53.39,-11.09
2000,0.00,818.93,53.39,0.27
2100,0.00,846.83,53.39,13.33
2200,0.00,873.60,53.39,27.52
2300,0.29,926.72,53.39,15.36
2400,0.00,966.28,53.39,16.76
2500,0.00,1008.81,53.39,15.19
2600,1.71,1046.02,53.39,18.94
2700,0.00,1079.99,53.39,25.93
2800,0.00,1116.63,53.39,30.25
2900,0.00,1169.48,53.39,18.36
3000,-0.08,1205.55,53.39,23.25
3100,0.00,1241.50,53.39,28.26
3200,0.34,1302.10,53.39,8.62
3300,-1.07,1342.20,53.39,9.48
3400,0.00,1387.80,53.39,4.84
3500,1.14,1430.90,53.39,2.70
3600,0.96,1467.17,54.39,7.39
3700,0.00,1513.00,54.39,2.52
3800,0.81,1565.31,54.39,-8.83
3900,-0.08,1599.32,54.39,-1.88
4000,-1.61,1642.22,54.39,-3.82
4100,0.00,1691.94,54.39,-12.58
4200,-1.43,1721.58,54.39,-1.26
4300,0.00,1772.17,54.39,-10.89
4400,0.00,1816.61,54.39,-14.37
4500,2.11,1856.60,54.39,-13.40
4600,2.16,1904.05,54.39,-19.89
4700,0.14,1943.13,54.39,-18.01
4800,1.18,1980.26,54.39,-14.18
4900,1.14,2004.10,54.39,2.94
5000,1.22,2041.79,54.39,6.21
5100,0.00,2083.33,54.39,5.63
5200,0.00,2118.68,54.39,11.24
5300,0.27,2167.90,54.39,2.98
5400,0.00,2213.80,55.39,-1.96
5500,1.26,2265.99,55.39,-13.19
5600,0.00,2304.98,55.39,-11.22
5700,1.11,2359.97,55.39,-25.25
5800,0.28,2413.30,55.39,-37.62
5900,0.00,2466.40,55.39,-49.76
6000,0.00,2497.48,55.39,-39.88
6100,0.58,2524.48,55.39,-25.92
6200,2.04,2570.18,55.39,-30.66
6300,-0.45,2607.15,55.39,-26.67
6400,0.00,2636.73,55.39,-15.29
6500,2.05,2664.85,55.39,-2.45
6600,0.00,2702.26,55.39,1.10
6700,0.00,2742.06,55.39,2.26
6800,0.87,2776.21,55.39,9.07
6900,1.55,2836.51,55.39,-10.27
7000,0.00,2876.00,55.39,-8.80
7100,0.00,2919.31,55.39,-11.15
7200,0.00,2959.80,55.39,-10.68
7300,0.00,3005.46,55.39,-15.38
7400,1.91,3043.15,55.39,-12.11
7500,0.00,3097.15,55.39,-25.15
7600,0.00,3130.39,55.39,-17.43
7700,0.16,3176.76,55.39,-22.84
7800,1.01,3215.92,55.39,-21.04
7900,0.00,3244.64,55.39,-8.80
8000,1.08,3280.29,55.39,-3.49
8100,2.61,3320.52,55.39,-2.76
8200,0.27,3348.82,55.39,9.90
8300,0.00,3390.28,55.39,9.40
8400,0.33,3447.28,55.39,-6.64
8500,0.00,3488.57,55.39,-6.97
8600,0.00,3528.75,55.39,-6.19
8700,0.00,3606.23,55.39,-42.71
8800,0.42,3661.53,55.39,-57.05
8900,0.87,3687.86,55.39,-42.42
9000,0.00,3730.34,55.39,-43.94
9100,0.56,3767.98,55.39,-40.62
9200,0.00,3804.84,55.39,-36.52
9300,1.31,3829.05,55.39,-19.77
9400,0.00,3862.99,55.39,-12.75
9500,0.10,3898.96,55.39,-7.76
9600,0.00,3950.64,55.39,-18.48
9700,0.52,3993.75,56.39,-20.63
9800,0.00,4037.77,56.39,-23.69
9900,0.00,4080.06,56.39,-25.02
10000,0.93,4123.85,56.39,-27.85
11000,0.00,4547.46,56.39,-41.86
12000,2.51,4942.52,56.39,-27.32
13000,-0.39,5343.78,56.39,-18.98
14000,1.71,5764.48,56.39,-30.08
15000,-1.27,6172.43,56.39,-28.43
16000,1.22,6582.81,57.39,-29.21
17000,0.85,6945.91,57.39,17.29
18000,0.00,7353.46,57.39,19.34
19000,0.00,7708.69,57.39,73.71
20000,1.11,8149.68,57.39,42.32
21000,0.00,8586.07,57.39,15.53
22000,1.36,8982.13,57.39,29.07
23000,0.00,9386.63,57.39,34.17
24000,-0.27,9803.94,57.39,26.46
25000,0.00,10202.33,57.39,37.67
26000,0.00,10619.53,57.39,30.07
27000,0.00,11018.21,57.39,40.99
28000,0.00,11383.93,57.39,84.87
29000,0.76,11845.61,57.39,32.79
30000,1.22,12212.23,57.39,75.77
31000,0.00,12638.95,57.39,58.65
32000,0.00,13040.64,57.39,66.56
33000,1.74,13459.25,57.39,57.55
34000,0.00,13874.16,57.39,52.24
35000,1.61,14346.59,57.39,-10.59
36000,0.00,14745.96,57.39,-0.36
37000,0.00,15160.72,57.39,-5.52
38000,0.00,15586.11,57.39,-21.31
39000,-1.45,16011.37,58.39,-36.97
40000,-0.35,16405.85,58.39,-21.85
41000,1.30,16807.22,59.39,-13.62
42000,0.78,17235.07,59.39,-31.87
43000,-0.40,17608.49,59.39,4.31
44000,0.00,18043.91,59.39,-21.51
45000,0.00,18452.28,59.39,-20.28
46000,0.08,18854.88,59.39,-13.28
47000,0.89,19240.88,59.39,10.32
48000,0.45,19684.17,59.39,-23.37
49000,2.52,20119.06,60.39,-48.66
50000,-0.34,20511.99,60.39,-31.99
51000,0.00,20938.63,60.39,-49.03
52000,-1.97,21361.82,60.39,-62.62
53000,0.00,21764.50,60.39,-55.70
54000,0.44,22120.81,60.39,-2.41
55000,0.00,22558.10,60.39,-30.10
56000,0.00,23027.44,60.39,-89.84
57000,0.00,23436.00,60.39,-88.80
58000,0.15,23823.61,60.39,-66.81
59000,4.40,24305.02,60.39,-138.62
60000,0.00,24638.03,60.39,-62.03
61000,0.00,25088.39,60.39,-102.79
62000,0.00,25496.95,60.39,-101.75
63000,0.00,25842.74,60.39,-37.94
64000,0.00,26261.65,60.39,-47.25
65000,0.00,26682.50,60.39,-58.50
66000,1.18,27071.69,61.39,-38.09
67000,1.25,27491.75,61.39,-48.55
68000,0.00,27957.27,61.39,-104.47
69000,0.44,28317.44,61.39,-55.04
70000,0.00,28685.55,61.39,-13.55
71000,0.00,29094.01,61.39,-12.41
72000,0.84,29474.86,61.39,16.34
73000,0.00,29841.81,61.39,58.99
74000,0.00,30268.76,61.39,41.64
75000,-0.57,30726.32,61.39,-6.32
76000,-0.33,31116.90,61.39,12.70
77000,3.52,31493.48,61.39,45.72
78000,1.96,31902.12,61.39,46.68
79000,1.46,32396.74,61.39,-38.34
80000,0.06,32786.09,61.39,-18.09
81000,0.00,33257.14,61.39,-79.54
82000,1.60,33685.58,61.39,-98.38
83000,1.48,34102.91,61.39,-106.11
84000,0.00,34529.14,61.39,-122.74
85000,0.39,34926.62,61.39,-110.62
