episode,epReward,cumReward,cumRegret,empRegret
100,0.00,-25.78,40.40,64.52
200,0.00,-19.26,78.56,96.75
300,0.00,-25.15,118.50,141.38
400,0.00,-21.78,158.99,176.75
500,0.00,-35.75,198.54,229.46
600,-0.07,-46.34,235.99,278.79
700,-0.41,-55.60,276.40,326.79
800,-2.87,-66.33,313.08,376.26
900,0.53,-68.48,353.11,417.16
1000,0.00,-67.60,390.63,455.02
1100,0.00,-71.61,429.34,497.78
1200,0.77,-71.98,470.28,536.89
1300,-4.57,-59.17,505.54,562.82
1400,0.21,-48.73,548.26,591.12
1500,-0.09,-57.85,587.27,638.98
1600,0.00,-58.05,629.40,677.92
1700,-3.62,-44.04,667.46,702.65
1800,1.94,-22.07,706.51,719.42
1900,0.81,-8.46,745.52,744.56
2000,0.50,30.64,783.70,744.20
2100,0.93,50.22,822.44,763.37
2200,0.88,74.33,861.19,778.00
2300,0.87,66.50,899.93,824.57
2400,-0.79,65.01,938.95,864.80
2500,0.00,45.82,978.00,922.73
2600,0.00,43.70,1017.25,963.59
2700,0.00,39.85,1056.22,1006.18
2800,0.00,33.93,1094.86,1050.85
2900,0.00,21.16,1131.71,1102.36
3000,-1.91,11.15,1171.20,1151.11
3100,0.00,7.26,1210.96,1193.74
3200,-1.56,2.48,1248.27,1237.27
3300,0.00,-11.47,1283.03,1289.96
3400,0.00,-17.26,1321.61,1334.49
3500,1.25,-6.78,1359.08,1362.75
3600,0.00,-25.84,1397.69,1420.55
3700,0.00,-33.12,1435.06,1466.58
3800,1.84,-10.66,1473.89,1482.86
3900,-1.29,20.25,1512.63,1490.69
4000,-2.40,34.86,1551.37,1514.83
4100,-2.39,81.11,1590.11,1507.31
4200,-1.15,112.11,1628.85,1515.06
4300,-0.86,112.21,1667.60,1553.70
4400,-0.05,110.65,1706.34,1594.00
4500,1.36,99.52,1745.08,1643.88
4600,1.71,105.12,1783.82,1677.02
4700,-1.62,111.74,1822.56,1709.14
4800,-1.81,130.00,1861.31,1729.62
4900,1.13,117.75,1900.05,1780.61
5000,-0.62,129.12,1938.79,1807.98
5100,0.12,159.49,1977.53,1816.35
5200,-0.68,143.39,2016.27,1871.20
5300,0.45,159.34,2055.02,1893.99
5400,0.93,160.77,2093.76,1931.30
5500,-0.62,167.14,2132.50,1963.67
5600,0.72,142.38,2171.24,2027.17
5700,0.70,129.77,2209.98,2078.53
5800,-2.04,122.04,2248.73,2124.99
5900,5.14,132.62,2287.47,2153.16
6000,-0.15,147.08,2326.21,2177.45
6100,2.27,122.80,2364.95,2240.47
6200,0.38,138.57,2403.69,2263.44
6300,1.37,126.80,2442.44,2313.95
6400,-0.38,120.02,2481.18,2359.48
6500,2.71,105.51,2519.92,2412.72
6600,1.58,109.04,2558.66,2447.93
6700,1.43,109.72,2597.40,2486.00
6800,0.77,119.49,2636.15,2514.97
6900,0.89,139.72,2674.89,2533.48
7000,0.45,145.41,2713.63,2566.53
7100,0.63,145.81,2752.37,2604.88
7200,0.14,142.28,2791.11,2647.15
7300,-1.06,135.68,2829.86,2692.49
7400,0.18,125.97,2868.60,2740.94
7500,-2.40,126.60,2907.34,2779.05
7600,-2.09,141.05,2946.08,2803.34
7700,-0.77,143.23,2984.83,2839.91
7800,0.88,135.91,3023.57,2885.97
7900,-0.44,128.27,3062.31,2932.35
8000,0.57,106.80,3101.05,2992.56
8100,0.56,93.10,3139.79,3045.01
8200,0.12,104.76,3178.54,3072.09
8300,0.33,107.51,3217.28,3108.08
8400,0.82,98.01,3256.02,3156.33
8500,-0.36,93.68,3294.76,3199.40
8600,-0.36,101.08,3333.50,3230.74
8700,0.62,112.39,3372.25,3258.17
8800,-1.34,105.78,3410.99,3303.52
8900,-0.33,116.72,3449.73,3331.32
