episode,epReward,cumReward,cumRegret,empRegret
100,0.00,-9.56,42.55,50.52
200,-1.42,7.69,79.56,74.23
300,-1.19,-0.01,115.26,122.89
400,-2.97,-2.11,153.96,165.95
500,-0.65,-22.18,186.86,226.98
600,0.00,-39.26,221.00,285.02
700,0.00,-45.55,259.16,332.27
800,0.00,-54.85,298.20,382.53
900,-0.14,-66.81,338.07,435.45
1000,0.78,-49.24,376.03,458.84
1100,0.00,-53.32,417.24,503.88
1200,-0.15,-38.71,457.76,530.23
1300,-2.01,-54.03,498.72,586.51
1400,-0.73,-44.45,539.68,617.89
1500,-2.34,-14.77,580.64,629.17
1600,-0.39,-13.12,621.60,668.48
1700,-0.53,-19.18,662.56,715.50
1800,-0.31,-20.90,703.52,758.18
1900,1.22,-18.48,744.58,796.72
2000,-0.71,-28.42,785.74,847.62
2100,-0.33,-30.15,826.40,890.31
2200,0.00,-7.19,867.87,908.31
2300,1.02,-4.16,908.62,946.24
2400,-2.32,2.90,951.53,980.14
2500,0.63,2.48,992.80,1021.52
2600,0.67,-1.89,1032.53,1066.85
2700,-2.01,-0.37,1076.07,1106.29
2800,3.21,2.45,1116.27,1144.43
2900,1.29,7.91,1152.53,1179.93
3000,0.41,14.89,1187.48,1213.91
3100,2.50,22.53,1223.75,1247.23
3200,0.71,46.68,1258.62,1264.04
3300,0.00,33.81,1291.51,1317.87
3400,0.00,47.06,1324.47,1345.58
3500,0.31,55.88,1351.44,1377.72
3600,0.00,59.08,1381.21,1415.48
3700,1.54,76.91,1413.44,1438.61
3800,1.30,86.15,1441.92,1470.33
3900,0.00,105.84,1468.72,1491.60
4000,0.88,129.06,1498.31,1509.34
4100,2.98,146.37,1525.19,1532.99
4200,-0.15,147.47,1551.63,1572.85
4300,-0.96,172.43,1580.15,1588.85
4400,1.60,187.04,1608.03,1615.20
4500,1.16,203.72,1635.75,1639.48
4600,-3.97,240.66,1651.79,1643.50
4700,1.35,272.28,1666.23,1652.84
4800,1.37,311.92,1681.31,1654.16
4900,1.04,334.25,1695.11,1672.79
5000,-0.12,338.54,1708.91,1709.46
5100,-1.04,376.84,1721.71,1712.12
5200,1.40,398.57,1734.71,1731.35
5300,-0.46,422.59,1747.35,1748.29
5400,0.00,442.25,1758.07,1769.59
5500,0.67,473.56,1772.51,1779.24
5600,0.97,487.37,1786.31,1806.39
5700,1.77,525.98,1798.51,1808.74
5800,-0.09,565.73,1811.15,1809.95
5900,-0.37,590.16,1823.15,1826.48
6000,-1.23,627.28,1835.79,1830.32
6100,0.22,656.11,1845.07,1842.45
6200,0.00,678.37,1855.79,1861.15
6300,0.00,701.20,1866.51,1879.28
6400,0.43,726.25,1877.43,1895.19
6500,0.55,762.17,1889.43,1900.23
6600,3.01,805.68,1899.35,1897.68
6700,0.06,847.39,1910.71,1896.93
6800,0.00,864.11,1921.79,1921.17
6900,2.10,893.49,1929.63,1932.75
7000,0.72,918.41,1940.71,1948.79
7100,-0.33,946.06,1949.99,1962.10
7200,-1.62,963.10,1960.43,1986.02
7300,2.20,984.82,1969.71,2005.26
7400,-5.60,1015.43,1981.27,2015.61
7500,-1.29,1054.86,1990.71,2017.14
7600,1.43,1081.60,2000.99,2031.36
7700,0.00,1114.03,2009.63,2039.89
7800,0.04,1171.50,2019.55,2023.38
7900,-0.92,1211.49,2029.31,2024.35
8000,0.02,1236.79,2038.59,2040.01
8100,0.00,1270.80,2048.03,2046.96
8200,0.71,1310.68,2056.67,2048.04
8300,-1.08,1336.95,2066.31,2062.73
8400,1.80,1370.38,2074.95,2070.26
8500,-2.30,1389.30,2083.95,2092.30
8600,0.00,1441.44,2091.79,2081.12
8700,1.90,1489.99,2098.99,2073.53
8800,1.05,1545.38,2108.27,2059.10
8900,0.13,1558.46,2114.83,2086.98
9000,0.34,1589.02,2122.03,2097.38
9100,0.00,1621.97,2131.31,2105.39
9200,0.85,1665.25,2137.23,2103.07
9300,-0.31,1686.14,2144.59,2123.14
9400,1.02,1724.36,2153.23,2125.88
9500,1.12,1748.40,2161.59,2142.80
9600,2.17,1778.23,2168.79,2153.93
9700,1.00,1823.83,2176.15,2149.29
9800,1.60,1857.78,2183.35,2156.30
9900,-0.69,1913.11,2192.99,2141.93
10000,2.75,1960.68,2200.99,2135.32
11000,0.89,2342.02,2269.07,2163.58
12000,2.83,2788.03,2330.83,2127.17
13000,0.20,3230.26,2381.39,2094.54
14000,-1.81,3588.65,2430.71,2145.75
15000,0.74,4003.53,2478.15,2140.47
16000,2.11,4419.28,2518.95,2134.32
17000,0.65,4833.05,2560.11,2130.15
18000,-0.04,5168.97,2591.51,2203.83
19000,0.23,5518.72,2613.95,2263.68
20000,-0.19,5969.40,2628.03,2222.60
21000,-1.75,6364.57,2632.03,2237.03
22000,-3.55,6794.80,2635.23,2216.40
23000,-0.98,7195.11,2640.23,2225.69
24000,1.62,7670.36,2662.79,2160.04
25000,1.00,7989.32,2693.55,2250.68
26000,0.21,8362.88,2709.71,2286.72
27000,0.00,8796.60,2717.55,2262.60
28000,3.53,9198.28,2723.15,2270.52
29000,0.64,9645.32,2738.71,2233.08
30000,0.00,10008.45,2744.31,2279.55
31000,1.13,10421.89,2749.11,2275.71
32000,1.45,10825.32,2754.71,2281.88
33000,-0.67,11179.03,2758.71,2337.77
34000,0.64,11582.35,2765.31,2344.05
35000,-0.58,12047.76,2770.91,2288.24
36000,1.53,12491.31,2776.99,2254.29
37000,0.16,12902.95,2808.67,2252.25
38000,0.74,13278.07,2813.67,2286.73
39000,0.00,13703.33,2817.67,2271.07
40000,-1.34,14141.17,2834.63,2242.83
41000,-1.34,14461.28,2852.87,2332.32
42000,-3.47,14829.81,2860.59,2373.39
43000,0.42,15256.03,2869.87,2356.77
44000,0.00,15735.44,2898.19,2286.96
45000,-0.48,16138.22,2925.07,2293.78
46000,1.01,16580.50,2953.75,2261.10
47000,2.43,17027.69,2976.63,2223.51
48000,0.44,17431.09,2995.67,2229.71
49000,-0.26,17846.26,2999.51,2224.14
50000,-0.44,18256.77,3002.71,2223.23
51000,0.28,18660.95,3005.11,2228.65
52000,0.05,19036.59,3009.31,2262.61
53000,0.23,19485.48,3012.51,2223.32
54000,1.18,19949.00,3014.11,2169.40
55000,3.07,20369.95,3018.11,2158.05
56000,0.90,20782.17,3020.51,2155.43
57000,0.00,21174.98,3023.91,2172.22
58000,1.01,21551.75,3027.11,2205.05
59000,0.93,21931.69,3029.51,2234.71
60000,0.00,22335.29,3031.91,2240.71
61000,-0.43,22745.52,3034.31,2240.08
62000,0.49,23116.48,3036.71,2278.72
63000,-0.02,23513.22,3039.31,2291.58
64000,0.00,23923.41,3041.71,2290.99
65000,0.51,24387.23,3043.31,2236.77
66000,2.16,24767.72,3045.71,2265.88
67000,0.78,25200.05,3048.11,2243.15
68000,1.08,25611.74,3049.71,2241.06
69000,-0.16,26010.35,3052.11,2252.05
70000,0.63,26457.41,3053.71,2214.59
71000,0.83,26796.40,3056.11,2285.20
72000,-0.68,27206.51,3058.71,2284.69
